;;;;;;;;;;;;;;;;;0;0;0;1;1;1;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT SENSOR;CURRENT SENSOR;CURRENT SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;
0;-11,6;10,7;-46,6;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;---;  0,0;3;   0; 30,7;     0;
1012;-11,6;10,7;26,3;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   0; 30,7;     0;
2024;-11,6;10,7;7,1;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   6; 30,2;     0;
3035;-11,6;10,7;7,1;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   3; 30,5;     1;
4046;-11,5;10,7;-4,2;-10,0;0,0;5,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   2; 30,4;     2;
5058;-11,6;10,7;-3,7;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   2; 30,5;     2;
6070;-11,6;10,7;-31,5;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   2; 30,5;     3;
7082;-11,6;10,7;-31,5;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   0; 30,6;     3;
8094;-11,6;10,7;-14,9;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   0; 30,6;     3;
9106;-11,6;10,7;-14,9;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   2; 30,4;     4;
10118;-11,6;10,7;-32,4;-10,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;  5,8;  0,0;3;   2; 30,5;     4;
